Point ID,MaterialIDs,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,temperature_BHE1_0,temperature_BHE1_1,temperature_BHE1_2,temperature_BHE1_Magnitude,temperature_soil,vtkValidPointMask
217,0,0,20,-53.456,57.0749,36.456,288.681,286.319,285.706,496.934,285.701,1
218,0,0,20,-53.624,57.2323,36.624,288.679,286.321,285.708,496.935,285.703,1
219,0,0,20,-53.792,57.3897,36.792,288.678,286.323,285.709,496.936,285.704,1
220,0,0,20,-53.96,57.5472,36.96,288.676,286.324,285.71,496.936,285.705,1
221,0,0,20,-54.128,57.7048,37.128,288.674,286.325,285.71,496.935,285.705,1
222,0,0,20,-54.296,57.8624,37.296,288.672,286.325,285.71,496.934,285.705,1
223,0,0,20,-54.464,58.0201,37.464,288.67,286.324,285.71,496.933,285.705,1
224,0,0,20,-54.632,58.1778,37.632,288.668,286.324,285.71,496.931,285.705,1
225,0,0,20,-54.8,58.3356,37.8,288.666,286.324,285.71,496.93,285.705,1
226,0,0,20,-54.968,58.4934,37.968,288.664,286.324,285.709,496.929,285.704,1
227,0,0,20,-55.136,58.6513,38.136,288.662,286.325,285.711,496.929,285.706,1
228,0,0,20,-55.304,58.8093,38.304,288.66,286.327,285.712,496.93,285.707,1
229,0,0,20,-55.472,58.9673,38.472,288.658,286.329,285.713,496.931,285.708,1
230,0,0,20,-55.64,59.1254,38.64,288.657,286.331,285.715,496.931,285.71,1
231,0,0,20,-55.808,59.2835,38.808,288.655,286.333,285.716,496.932,285.711,1
232,0,0,20,-55.976,59.4417,38.976,288.653,286.335,285.718,496.933,285.713,1
233,0,0,20,-56.144,59.5999,39.144,288.651,286.335,285.718,496.932,285.713,1
234,0,0,20,-56.312,59.7582,39.312,288.649,286.335,285.718,496.931,285.713,1
235,0,0,20,-56.48,59.9165,39.48,288.647,286.335,285.717,496.93,285.712,1
236,0,0,20,-56.648,60.0749,39.648,288.645,286.334,285.717,496.928,285.712,1
237,0,0,20,-56.816,60.2334,39.816,288.643,286.334,285.717,496.927,285.712,1
238,0,0,20,-56.984,60.3919,39.984,288.641,286.334,285.717,496.926,285.712,1
239,0,0,20,-57.152,60.5504,40.152,288.639,286.336,285.718,496.926,285.713,1
240,0,0,20,-57.32,60.709,40.32,288.638,286.338,285.72,496.927,285.715,1
241,0,0,20,-57.488,60.8676,40.488,288.636,286.34,285.721,496.928,285.716,1
242,0,0,20,-57.656,61.0263,40.656,288.634,286.342,285.723,496.929,285.718,1
243,0,0,20,-57.824,61.1851,40.824,288.632,286.343,285.724,496.93,285.719,1
244,0,0,20,-57.992,61.3439,40.992,288.63,286.345,285.725,496.931,285.72,1
245,0,0,20,-58.16,61.5027,41.16,288.629,286.345,285.725,496.93,285.72,1
246,0,0,20,-58.328,61.6616,41.328,288.627,286.345,285.725,496.928,285.72,1
247,0,0,20,-58.496,61.8206,41.496,288.625,286.345,285.725,496.927,285.72,1
248,0,0,20,-58.664,61.9796,41.664,288.623,286.345,285.725,496.926,285.72,1
249,0,0,20,-58.832,62.1386,41.832,288.621,286.345,285.725,496.925,285.72,1
250,0,0,20,-59,62.2977,42,288.619,286.345,285.725,496.924,285.72,1
251,0,0,20,-59.168,62.4568,42.168,288.617,286.347,285.726,496.925,285.721,1
252,0,0,20,-59.336,62.616,42.336,288.615,286.349,285.728,496.925,285.723,1
253,0,0,20,-59.504,62.7752,42.504,288.614,286.351,285.729,496.926,285.724,1
254,0,0,20,-59.672,62.9345,42.672,288.612,286.353,285.731,496.927,285.726,1
255,0,0,20,-59.84,63.0938,42.84,288.61,286.355,285.732,496.928,285.727,1
256,0,0,20,-60.008,63.2531,43.008,288.608,286.356,285.734,496.929,285.729,1
257,0,0,20,-60.176,63.4125,43.176,288.606,286.356,285.734,496.928,285.729,1
258,0,0,20,-60.344,63.572,43.344,288.604,286.356,285.734,496.927,285.729,1
259,0,0,20,-60.512,63.7315,43.512,288.603,286.356,285.734,496.926,285.729,1
260,0,0,20,-60.68,63.891,43.68,288.601,286.356,285.734,496.925,285.728,1
261,0,0,20,-60.848,64.0506,43.848,288.599,286.356,285.734,496.923,285.728,1
262,0,0,20,-61.016,64.2102,44.016,288.597,286.357,285.734,496.922,285.729,1
263,0,0,20,-61.184,64.3699,44.184,288.595,286.358,285.735,496.923,285.73,1
264,0,0,20,-61.352,64.5296,44.352,288.593,286.36,285.737,496.924,285.732,1
265,0,0,20,-61.52,64.6893,44.52,288.592,286.362,285.738,496.925,285.733,1
266,0,0,20,-61.688,64.8491,44.688,288.59,286.364,285.74,496.926,285.735,1
267,0,0,20,-61.856,65.009,44.856,288.588,286.366,285.741,496.927,285.736,1
268,0,0,20,-62.024,65.1688,45.024,288.586,286.368,285.742,496.928,285.737,1
269,0,0,20,-62.192,65.3287,45.192,288.585,286.368,285.742,496.927,285.737,1
270,0,0,20,-62.36,65.4887,45.36,288.583,286.368,285.742,496.926,285.737,1
271,0,0,20,-62.528,65.6487,45.528,288.581,286.368,285.742,496.925,285.737,1
272,0,0,20,-62.696,65.8087,45.696,288.579,286.368,285.742,496.924,285.737,1
273,0,0,20,-62.864,65.9688,45.864,288.577,286.368,285.743,496.923,285.737,1
274,0,0,20,-63.032,66.1289,46.032,288.575,286.369,285.743,496.922,285.738,1
275,0,0,20,-63.2,66.2891,46.2,288.573,286.37,285.744,496.923,285.739,1
276,0,0,20,-63.368,66.4493,46.368,288.572,286.372,285.746,496.924,285.741,1
277,0,0,20,-63.536,66.6095,46.536,288.57,286.374,285.747,496.925,285.742,1
278,0,0,20,-63.704,66.7698,46.704,288.568,286.376,285.749,496.926,285.744,1
279,0,0,20,-63.872,66.9301,46.872,288.567,286.378,285.75,496.927,285.745,1
280,0,0,20,-64.04,67.0904,47.04,288.565,286.38,285.752,496.928,285.747,1
281,0,0,20,-64.208,67.2508,47.208,288.563,286.38,285.752,496.927,285.747,1
282,0,0,20,-64.376,67.4112,47.376,288.561,286.38,285.752,496.926,285.747,1
283,0,0,20,-64.544,67.5716,47.544,288.559,286.38,285.752,496.925,285.747,1
284,0,0,20,-64.712,67.7321,47.712,288.557,286.38,285.752,496.924,285.747,1
285,0,0,20,-64.88,67.8927,47.88,288.556,286.38,285.752,496.923,285.747,1
286,0,0,20,-65.048,68.0532,48.048,288.554,286.381,285.752,496.922,285.747,1
287,0,0,20,-65.216,68.2138,48.216,288.552,286.383,285.754,496.923,285.749,1
288,0,0,20,-65.384,68.3745,48.384,288.55,286.385,285.756,496.924,285.75,1
289,0,0,20,-65.552,68.5351,48.552,288.549,286.387,285.757,496.925,285.752,1
290,0,0,20,-65.72,68.6958,48.72,288.547,286.389,285.759,496.927,285.754,1
291,0,0,20,-65.888,68.8566,48.888,288.545,286.391,285.76,496.928,285.755,1
292,0,0,20,-66.056,69.0174,49.056,288.544,286.392,285.761,496.928,285.756,1
293,0,0,20,-66.224,69.1782,49.224,288.542,286.392,285.761,496.927,285.756,1
294,0,0,20,-66.392,69.339,49.392,288.54,286.392,285.762,496.926,285.756,1
295,0,0,20,-66.56,69.4999,49.56,288.538,286.393,285.762,496.925,285.757,1
296,0,0,20,-66.728,69.6608,49.728,288.536,286.393,285.762,496.924,285.757,1
297,0,0,20,-66.896,69.8217,49.896,288.535,286.393,285.762,496.924,285.757,1
298,0,0,20,-67.064,69.9827,50.064,288.533,286.394,285.763,496.923,285.758,1
299,0,0,20,-67.232,70.1437,50.232,288.531,286.396,285.764,496.925,285.759,1
300,0,0,20,-67.4,70.3048,50.4,288.53,286.398,285.766,496.926,285.761,1
301,0,0,20,-67.568,70.4658,50.568,288.528,286.4,285.767,496.927,285.762,1
302,0,0,20,-67.736,70.6269,50.736,288.526,286.402,285.769,496.928,285.764,1
303,0,0,20,-67.904,70.7881,50.904,288.525,286.404,285.771,496.929,285.765,1
304,0,0,20,-68.072,70.9493,51.072,288.523,286.405,285.772,496.929,285.766,1
305,0,0,20,-68.24,71.1105,51.24,288.521,286.405,285.772,496.928,285.767,1
